symbol,status,issue_type,description
AXP,FAIL,ERROR,"NaN values found: {'open': 222, 'high': 222, 'low': 222, 'close': 222, 'volume': 0}"
BA,FAIL,ERROR,"NaN values found: {'open': 1, 'high': 1, 'low': 1, 'close': 1, 'volume': 0}"
CAT,FAIL,ERROR,"NaN values found: {'open': 15, 'high': 15, 'low': 15, 'close': 15, 'volume': 0}"
CRM,FAIL,ERROR,"NaN values found: {'open': 4, 'high': 4, 'low': 4, 'close': 4, 'volume': 0}"
CVX,FAIL,ERROR,"NaN values found: {'open': 37, 'high': 37, 'low': 37, 'close': 37, 'volume': 0}"
DIS,FAIL,ERROR,"NaN values found: {'open': 6, 'high': 6, 'low': 6, 'close': 6, 'volume': 0}"
GS,FAIL,ERROR,"NaN values found: {'open': 16, 'high': 16, 'low': 16, 'close': 16, 'volume': 0}"
HD,FAIL,ERROR,"NaN values found: {'open': 21, 'high': 21, 'low': 21, 'close': 21, 'volume': 0}"
HON,FAIL,ERROR,"NaN values found: {'open': 95, 'high': 95, 'low': 95, 'close': 95, 'volume': 0}"
IBM,FAIL,ERROR,"NaN values found: {'open': 6, 'high': 6, 'low': 6, 'close': 6, 'volume': 0}"
JPM,FAIL,ERROR,"NaN values found: {'open': 1, 'high': 1, 'low': 1, 'close': 1, 'volume': 0}"
MCD,FAIL,ERROR,"NaN values found: {'open': 1, 'high': 1, 'low': 1, 'close': 1, 'volume': 0}"
MMM,FAIL,ERROR,"NaN values found: {'open': 71, 'high': 71, 'low': 71, 'close': 71, 'volume': 0}"
MRK,FAIL,ERROR,"NaN values found: {'open': 107, 'high': 107, 'low': 107, 'close': 107, 'volume': 0}"
NKE,FAIL,ERROR,"NaN values found: {'open': 1, 'high': 1, 'low': 1, 'close': 1, 'volume': 0}"
PG,FAIL,ERROR,"NaN values found: {'open': 83, 'high': 83, 'low': 83, 'close': 83, 'volume': 0}"
TRV,FAIL,ERROR,"NaN values found: {'open': 21, 'high': 21, 'low': 21, 'close': 21, 'volume': 0}"
UNH,FAIL,ERROR,"NaN values found: {'open': 10, 'high': 10, 'low': 10, 'close': 10, 'volume': 0}"
